# Division I Women's Basketball: 2010-11 Season
# School (Conference)	Wins	Losses
Ill.-Chicago (Horizon)	14	16
UMKC (Summit League)	14	16
Northwestern St. (Southland)	14	16
Akron (Mid-American)	14	16
Radford (Big South)	14	16
Siena (Metro Atlantic)	14	16
SMU (Conference USA)	14	16
Charleston So. (Big South)	14	16
Quinnipiac (Northeast)	14	16
Alcorn (Southwestern)	13	15
Austin Peay (OVC)	15	18
Pittsburgh (AAC)	14	17
North Carolina St. (Atlantic Coast)	14	17
Davidson (Southern)	14	17
Mississippi Val. (Southwestern)	14	17
Bethune-Cookman (Mid-Eastern)	13	16
UNCG (Southern)	13	16
Army West Point (Patriot)	13	16
Providence (AAC)	13	16
Southeastern La. (Southland)	13	16
North Dakota St. (Summit League)	13	16
New Mexico St. (Western Athletic)	14	18
Coppin St. (Mid-Eastern)	13	17
George Mason (Colonial)	13	17
North Florida (ASUN)	13	17
Northern Ill. (Mid-American)	13	17
Oregon (Pac-12)	13	17
Campbell (ASUN)	13	17
Mississippi St. (Southeastern)	13	17
Detroit (Horizon)	13	18
Eastern Wash. (Big Sky)	13	18
Missouri (Big 12)	13	18
Nebraska (Big 12)	13	18
Winthrop (Big South)	13	18
New Mexico (Mountain West)	13	18
South Carolina St. (Mid-Eastern)	12	17
Wagner (Northeast)	12	17
San Diego St. (Mountain West)	12	17
Ga. Southern (Southern)	12	18
Minnesota (Big Ten)	12	18
Milwaukee (Horizon)	12	18
SFA (Southland)	12	18
UNC Asheville (Big South)	12	18
Bucknell (Patriot)	11	17
Washington (Pac-12)	11	17
Penn (Ivy League)	11	17
Boise St. (Western Athletic)	12	19
Fordham (Atlantic 10)	12	19
Georgia St. (Colonial)	12	19
Villanova (AAC)	12	19
UMES (Mid-Eastern)	12	19
UTRGV (Great West)	12	19
South Fla. (AAC)	12	19
Loyola Chicago (Horizon)	12	19
Northern Ariz. (Big Sky)	11	18
Loyola Marymount (West Coast)	11	18
Hawaii (Western Athletic)	11	19
Lafayette (Patriot)	11	19
Miami (OH) (Mid-American)	11	19
Virginia Tech (Atlantic Coast)	11	19
UL Lafayette (Sun Belt)	11	19
Santa Clara (West Coast)	11	19
Brown (Ivy League)	10	18
Belmont (ASUN)	11	20
UNLV (Mountain West)	11	20
Canisius (Metro Atlantic)	11	20
Iona (Metro Atlantic)	11	20
Ole Miss (Southeastern)	10	19
Coastal Caro. (Big South)	10	19
Clemson (Atlantic Coast)	10	20
Holy Cross (Patriot)	10	20
Col. of Charleston (Southern)	10	20
Southern Miss. (Conference USA)	10	20
La Salle (Atlantic 10)	10	20
Jacksonville St. (OVC)	10	21
Norfolk St. (Mid-Eastern)	9	19
Jackson St. (Southwestern)	9	19
Cincinnati (AAC)	9	20
Delaware St. (Mid-Eastern)	9	20
New Hampshire (America East)	9	20
Texas St. (Southland)	9	20
Indiana (Big Ten)	9	20
Ball St. (Mid-American)	9	21
Cal St. Fullerton (Big West)	9	21
Marshall (Conference USA)	9	21
Murray St. (OVC)	9	21
Lipscomb (ASUN)	9	21
Tennessee St. (OVC)	9	21
Towson (Colonial)	9	21
Western Mich. (Mid-American)	9	21
Kennesaw St. (ASUN)	9	21
Oregon St. (Pac-12)	9	21
Ohio (Mid-American)	9	22
Western Caro. (Southern)	9	22
Air Force (Mountain West)	9	22
Pacific (Big West)	9	22
UT Arlington (Southland)	8	20
Illinois (Big Ten)	9	23
